index,beer_name,ounces,abv,ibu,brewery_id,brewery_name,city,state,style
632,Cascadian Dark Ale,12,0.06,75,418,Coalition Brewing Company,Portland,OR,American Black Ale
633,Wheat the People,16,0.044,13,418,Coalition Brewing Company,Portland,OR,American Pale Wheat Ale
634,Tybee Island Blonde,12,0.047,17,415,Coastal Empire Beer Company,Savannah,GA,American Blonde Ale
635,Savannah Brown Ale,12,0.062,55,415,Coastal Empire Beer Company,Savannah,GA,American Brown Ale
636,Rhode Island Blueberry,12,0.046,11,101,Coastal Extreme Brewing Company,Newport,RI,Kölsch
637,Newport Storm IPA,12,0.065,75,101,Coastal Extreme Brewing Company,Newport,RI,American IPA
638,Hurricane Amber Ale (2004),12,0.052,24,101,Coastal Extreme Brewing Company,Newport,RI,American Amber / Red Ale
639,Hurricane Amber Ale,12,0.052,24,101,Coastal Extreme Brewing Company,Newport,RI,American Amber / Red Ale
640,Big Blue Van,16,0.058,,232,College Street Brewhouse and Pub,Lake Havasu City,AZ,Fruit / Vegetable Beer
641,Des Moines IPA,16,0.068,75,482,Confluence Brewing Company,Des Moines,IA,American IPA
642,Capital Gold Golden Lager,16,0.048,22,482,Confluence Brewing Company,Des Moines,IA,German Pilsener
643,Farmer John's Multi-Grain Ale,16,0.056,21,482,Confluence Brewing Company,Des Moines,IA,American Blonde Ale
644,Behemoth,12,0.05,,139,Core Brewing & Distilling Company,Springdale,AR,American Pilsner
645,Arkansas Red,12,0.052,,139,Core Brewing & Distilling Company,Springdale,AR,American Amber / Red Ale
646,Core Oatmeal Stout,12,0.057,,139,Core Brewing & Distilling Company,Springdale,AR,Oatmeal Stout
647,Core ESB,12,0.061,,139,Core Brewing & Distilling Company,Springdale,AR,Extra Special / Strong Bitter (ESB)
648,Chester's Beer (2005),12,0.038,,512,Cottrell Brewing,Pawcatuck,CT,American Pale Lager
649,Heiner Brau Kölsch,12,0.05,,553,Covington Brewhouse,Covington,LA,Kölsch
650,Trigger Blonde Ale,16,0.048,,515,Crabtree Brewing Company,Greeley,CO,American Blonde Ale
651,Crabtree Oatmeal Stout,16,0.075,29,515,Crabtree Brewing Company,Greeley,CO,Oatmeal Stout
652,Eclipse Black IPA,16,0.077,71,515,Crabtree Brewing Company,Greeley,CO,American Black Ale
653,Neomexicanus Native,12,0.06,46,63,Crazy Mountain Brewing Company,Edwards,CO,American Pale Ale (APA)
654,Old Soul,12,0.075,25,63,Crazy Mountain Brewing Company,Edwards,CO,Belgian Strong Pale Ale
655,Snowcat Coffee Stout,12,0.059,,63,Crazy Mountain Brewing Company,Edwards,CO,American Stout
656,WinterWonderGrass Festival Ale,12,,,63,Crazy Mountain Brewing Company,Edwards,CO,American Amber / Red Ale
657,Boohai Red Ale,12,,,63,Crazy Mountain Brewing Company,Edwards,CO,American Amber / Red Ale
658,Lava Lake Wit,12,0.052,15,63,Crazy Mountain Brewing Company,Edwards,CO,Witbier
659,Mountain Livin' Pale Ale,12,0.06,,63,Crazy Mountain Brewing Company,Edwards,CO,American Pale Ale (APA)
660,Crazy Mountain Amber Ale,12,0.052,25,63,Crazy Mountain Brewing Company,Edwards,CO,American Amber / Red Ale
661,Tropicalia,12,0.065,65,247,Creature Comforts,Athens,GA,American IPA
662,Athena,12,0.045,,247,Creature Comforts,Athens,GA,Berliner Weissbier
663,Aviator Raspberry Blonde,12,0.049,25,169,Crooked Fence Brewing Company,Garden City,ID,American Blonde Ale
664,3 Picket Porter,12,0.055,,169,Crooked Fence Brewing Company,Garden City,ID,American Porter
665,Rusty Nail Pale Ale,12,0.056,,169,Crooked Fence Brewing Company,Garden City,ID,American Pale Ale (APA)
666,Red Water Irish Style Red,12,0.065,,212,Crow Peak Brewing Company,Spearfish,SD,American Amber / Red Ale
667,Mjöllnir,12,0.066,,212,Crow Peak Brewing Company,Spearfish,SD,Herbed / Spiced Beer
668,Bear Butte Nut Brown Ale,12,0.055,,212,Crow Peak Brewing Company,Spearfish,SD,American Brown Ale
669,Easy Livin' Summer Ale,12,0.045,,212,Crow Peak Brewing Company,Spearfish,SD,American Blonde Ale
670,Canyon Cream Ale,12,0.055,,212,Crow Peak Brewing Company,Spearfish,SD,Cream Ale
671,Pile O'Dirt Porter,12,0.069,,212,Crow Peak Brewing Company,Spearfish,SD,American Porter
672,11th Hour IPA,12,0.06,,212,Crow Peak Brewing Company,Spearfish,SD,American IPA
673,South Ridge Amber Ale,16,0.06,31,472,Crystal Springs Brewing Company,Boulder,CO,American Amber / Red Ale
674,Summertime Ale,16,0.052,23,472,Crystal Springs Brewing Company,Boulder,CO,Kölsch
675,Lost River Blonde Ale,16,0.049,,315,Cutters Brewing Company,Avon,IN,American Blonde Ale
676,Monon Wheat,16,0.054,,315,Cutters Brewing Company,Avon,IN,Witbier
677,Floyd's Folly,16,0.08,,315,Cutters Brewing Company,Avon,IN,Scottish Ale
678,Half Court IPA,16,0.063,,315,Cutters Brewing Company,Avon,IN,American IPA
679,Geary's Pale Ale,12,0.045,,323,D.L. Geary Brewing Company,Portland,ME,English Pale Ale
680,Geary's Summer Ale,12,0.06,,323,D.L. Geary Brewing Company,Portland,ME,Kölsch
681,Stone of Arbroath,12,0.08,,227,DC Brau Brewing Company,Washington,DC,Scotch Ale / Wee Heavy
682,The Tradition,12,0.05,15,227,DC Brau Brewing Company,Washington,DC,American Blonde Ale
683,El Hefe Speaks,12,0.053,11,227,DC Brau Brewing Company,Washington,DC,Hefeweizen
684,Penn Quarter Porter,12,0.055,,227,DC Brau Brewing Company,Washington,DC,American Porter
685,On the Wings of Armageddon,12,0.092,115,227,DC Brau Brewing Company,Washington,DC,American Double / Imperial IPA
686,The Corruption,12,0.065,80,227,DC Brau Brewing Company,Washington,DC,American IPA
687,The Citizen,12,0.07,,227,DC Brau Brewing Company,Washington,DC,Belgian Pale Ale
688,The Public,12,0.06,,227,DC Brau Brewing Company,Washington,DC,American Pale Ale (APA)
689,Dank IPA,16,0.065,,451,Dad & Dude's Breweria,Aurora,CO,American IPA
690,Dank IPA (2012),16,0.065,,451,Dad & Dude's Breweria,Aurora,CO,American IPA
691,Lift Off IPA,16,0.072,,358,Daredevil Brewing Company,Shelbyville,IN,American IPA
692,BrewFarm Select Golden Lager,12,0.055,,554,Dave's Brewfarm,Wilson,WI,American Pale Lager
693,Sprocket Blonde Ale (2006),12,0.05,,333,David's Ale Works,Diamond Springs,CA,American Blonde Ale
694,Sprocket Pale Ale (2006),12,0.05,,333,David's Ale Works,Diamond Springs,CA,American Pale Ale (APA)
695,Dead Armadillo Amber Ale,12,0.063,37,330,Dead Armadillo Craft Brewing,Tulsa,OK,American Amber / Red Ale
696,Neato Bandito,12,0.06,,127,Deep Ellum Brewing Company,Dallas,TX,Euro Pale Lager
697,Oak Cliff Coffee Ale,12,0.075,33,127,Deep Ellum Brewing Company,Dallas,TX,American Brown Ale
698,Dream Crusher Double IPA,12,0.085,100,127,Deep Ellum Brewing Company,Dallas,TX,American Double / Imperial IPA
699,Deep Ellum Pale Ale,12,0.06,,127,Deep Ellum Brewing Company,Dallas,TX,American Pale Ale (APA)
700,Double Brown Stout,12,0.07,,127,Deep Ellum Brewing Company,Dallas,TX,Baltic Porter
701,Farmhouse Wit,16,0.048,25,127,Deep Ellum Brewing Company,Dallas,TX,Saison / Farmhouse Ale
702,Rye Pils Session Lager,12,0.046,,127,Deep Ellum Brewing Company,Dallas,TX,German Pilsener
703,Dallas Blonde,12,0.052,23,127,Deep Ellum Brewing Company,Dallas,TX,American Blonde Ale
704,Deep Ellum IPA,12,0.07,70,127,Deep Ellum Brewing Company,Dallas,TX,American IPA
705,Thrasher Session India Pale Ale,12,0.045,44,283,Defiance Brewing Company,Hays,KS,American IPA
706,Gutch English Style Mild Ale,12,0.05,16,283,Defiance Brewing Company,Hays,KS,English Pale Mild Ale
707,Chuli Stout,12,0.059,55,453,Denali Brewing Company,Talkeetna,AK,Irish Dry Stout
708,Mother Ale,12,0.056,46,453,Denali Brewing Company,Talkeetna,AK,American Blonde Ale
709,Twister Creek India Pale Ale,12,0.065,71,453,Denali Brewing Company,Talkeetna,AK,American IPA
710,Single Engine Red,12,0.058,46,453,Denali Brewing Company,Talkeetna,AK,Irish Red Ale
711,Incredible Pedal IPA,12,0.07,,263,Denver Beer Company,Denver,CO,American IPA
712,Graham Cracker Porter,12,0.05,,263,Denver Beer Company,Denver,CO,American Porter
713,Mirror Pond Pale Ale,12,0.05,40,454,Deschutes Brewery,Bend,OR,American Pale Ale (APA)
714,Weissenheimer,12,0.052,16,57,Destihl Brewery,Bloomington,IL,Hefeweizen
715,Abbey's Single (2015- ),12,0.049,22,57,Destihl Brewery,Bloomington,IL,Abbey Single Ale
716,Vertex IPA,12,0.063,76,57,Destihl Brewery,Bloomington,IL,American IPA
717,Here Gose Nothin',12,0.05,12,57,Destihl Brewery,Bloomington,IL,Gose
718,Strawberry Blonde,12,0.05,,57,Destihl Brewery,Bloomington,IL,Fruit / Vegetable Beer
719,Hoperation Overload,12,0.096,85,57,Destihl Brewery,Bloomington,IL,American Double / Imperial IPA
720,Abbey's Single Ale (Current),12,0.049,22,57,Destihl Brewery,Bloomington,IL,Abbey Single Ale
721,Bravo Four Point,12,0.044,45,237,Devil's Backbone Brewing Company,Lexington,VA,American Pale Ale (APA)
722,Striped Bass Pale Ale,12,0.052,26,237,Devil's Backbone Brewing Company,Lexington,VA,American Pale Ale (APA)
723,Deadicated Amber,16,0.054,27,491,Devil's Canyon Brewery,Belmont,CA,American Amber / Red Ale
724,Kaleidoscope Collaboration 2012,16,,,491,Devil's Canyon Brewery,Belmont,CA,American Black Ale
725,California Sunshine Rye IPA,16,0.071,85,491,Devil's Canyon Brewery,Belmont,CA,American IPA
726,Full Boar Scotch Ale,16,0.074,12,491,Devil's Canyon Brewery,Belmont,CA,Scotch Ale / Wee Heavy
727,12 Man Pale Ale,12,0.045,,319,Dick's Brewing Company,Centralia,WA,American Pale Ale (APA)
728,Filthy Hoppin' IPA,16,0.065,72,311,Dirty Bucket Brewing Company,Woodinville,WA,American IPA
729,Dock Street Amber Beer (1992),12,,,488,Dock Street Brewery,Philadelphia,PA,American Amber / Red Ale
730,Dolores River Hefeweizen,16,,,531,Dolores River Brewery,Dolores,CO,Hefeweizen
731,Dolores River ESB,16,,,531,Dolores River Brewery,Dolores,CO,Extra Special / Strong Bitter (ESB)
732,Snaggletooth Double Pale Ale,16,,,531,Dolores River Brewery,Dolores,CO,American Double / Imperial IPA
733,Dolores River Pale Ale,16,,,531,Dolores River Brewery,Dolores,CO,American Pale Ale (APA)
734,Dolores River Dry Stout,16,,,531,Dolores River Brewery,Dolores,CO,Irish Dry Stout
735,Dolores River Mild,16,,,531,Dolores River Brewery,Dolores,CO,English Dark Mild Ale
736,Cranberry Blend,12,0.049,,446,Downeast Cider House,Leominster,MA,Cider
737,Orignal Blend,12,0.051,,446,Downeast Cider House,Leominster,MA,Cider
738,Hop Abomination,12,0.066,100,496,Dry Dock Brewing Company,Aurora,CO,American IPA
739,Apricot Blonde,12,0.051,17,496,Dry Dock Brewing Company,Aurora,CO,Fruit / Vegetable Beer
740,Dry Dock Hefeweizen,12,0.043,12,496,Dry Dock Brewing Company,Aurora,CO,Hefeweizen
741,Dry Dock Amber Ale,12,0.058,49,496,Dry Dock Brewing Company,Aurora,CO,American Amber / Red Ale
742,Category 3 IPA,12,0.061,64,340,Due South Brewing Company,Boynton Beach,FL,American IPA
743,Dundee Summer Wheat Beer,12,0.045,18,538,Dundee Brewing Company,Rochester,NY,American Pale Wheat Ale
744,Pumpkin Patch Ale,16,0.05,,369,Eddyline Brewery & Restaurant,Buena Vista,CO,Pumpkin Ale
745,Crank Yanker IPA,16,0.078,74,369,Eddyline Brewery & Restaurant,Buena Vista,CO,American IPA
746,River Runners Pale Ale,16,0.06,,369,Eddyline Brewery & Restaurant,Buena Vista,CO,American Pale Ale (APA)
747,Pumpkin Patch Ale (2012),16,0.05,,369,Eddyline Brewery & Restaurant,Buena Vista,CO,Pumpkin Ale
748,Mountain Fairy Raspberry Wheat,16,0.055,,369,Eddyline Brewery & Restaurant,Buena Vista,CO,Fruit / Vegetable Beer
749,Boater Beer,16,0.045,,369,Eddyline Brewery & Restaurant,Buena Vista,CO,German Pilsener
750,Crank Yanker IPA (2011),16,0.078,74,369,Eddyline Brewery & Restaurant,Buena Vista,CO,American IPA
751,Bleeding Buckeye Red Ale,16,0.057,,352,Elevator Brewing Company,Columbus,OH,Extra Special / Strong Bitter (ESB)
752,Dottie Seattle Lager,16,0.049,25,516,Emerald City Beer Company,Seattle,WA,American Amber / Red Lager
753,Nut Sack Imperial Brown Ale,12,0.07,,465,Engine 15 Brewing,Jacksonville Beach,FL,American Brown Ale
754,Underachiever,16,0.05,,473,Engine House 9,Tacoma,WA,American Adjunct Lager
755,Lil' Brainless Raspberries,12,0.052,,81,Epic Brewing,Denver,CO,Fruit / Vegetable Beer
756,Element 29,12,0.052,,81,Epic Brewing,Denver,CO,American Pale Ale (APA)
757,Hop Syndrome,12,0.05,,81,Epic Brewing,Denver,CO,American Pale Lager
758,Escape to Colorado,12,0.062,,81,Epic Brewing,Denver,CO,American IPA
759,Little Sister India Style Session Ale,12,0.043,60,170,Everybody's Brewing,White Salmon,WA,American IPA
760,Country Boy IPA,12,0.062,80,170,Everybody's Brewing,White Salmon,WA,American IPA
761,Blonde Czich,16,0.049,23,26,Evil Czech Brewery,Mishawaka,IN,American Blonde Ale
762,White Reaper,16,0.07,61,26,Evil Czech Brewery,Mishawaka,IN,Belgian IPA
763,Bobblehead,16,0.051,,26,Evil Czech Brewery,Mishawaka,IN,American Pale Wheat Ale
764,Lucky Dog,16,0.052,,26,Evil Czech Brewery,Mishawaka,IN,American Pale Ale (APA)
765,Voodoo,16,0.048,,26,Evil Czech Brewery,Mishawaka,IN,American Porter
766,General George Patton Pilsner,16,0.054,48,26,Evil Czech Brewery,Mishawaka,IN,Czech Pilsener
767,Nomader Weiss,12,0.04,,173,Evil Twin Brewing,Brooklyn,NY,Berliner Weissbier
768,Molotov Lite,16,0.085,,173,Evil Twin Brewing,Brooklyn,NY,American Double / Imperial IPA
769,Hipster Ale (Two Roads Brewing),12,0.055,,173,Evil Twin Brewing,Brooklyn,NY,American Pale Ale (APA)
770,Bikini Beer,12,0.027,,173,Evil Twin Brewing,Brooklyn,NY,American IPA
771,Hipster Ale (Westbrook Brewing),12,0.055,,173,Evil Twin Brewing,Brooklyn,NY,American Pale Ale (APA)
772,Iron Horse Pale Ale,12,0.05,32,335,Fargo Brewing Company,Fargo,ND,American Pale Ale (APA)
773,Stone's Throw IPA,12,0.045,19,335,Fargo Brewing Company,Fargo,ND,Scottish Ale
774,Wood Chipper India Pale Ale,12,0.067,70,335,Fargo Brewing Company,Fargo,ND,American IPA
775,Trail Head,12,0.063,55,224,Fat Head's Brewery,Middleburg Heights,OH,American Pale Ale (APA)
776,Hop Stalker Fresh Hop IPA,16,0.07,80,224,Fat Head's Brewery,Middleburg Heights,OH,American IPA
777,Sudice American Stout,16,0.07,58,405,Fate Brewing Company,Boulder,CO,American Stout
778,Parcae Belgian Style Pale Ale,16,0.05,20,405,Fate Brewing Company,Boulder,CO,Belgian Pale Ale
779,Norns Roggenbier,16,0.05,20,405,Fate Brewing Company,Boulder,CO,Roggenbier
780,Laimas Kölsch Style Ale,16,0.05,20,405,Fate Brewing Company,Boulder,CO,Kölsch
781,Moirai India Pale Ale,16,0.07,70,405,Fate Brewing Company,Boulder,CO,American IPA
782,Loki Red Ale,16,0.075,53,201,Fearless Brewing Company,Estacada,OR,American Amber / Red Ale
783,Peaches & Cream,16,0.046,,201,Fearless Brewing Company,Estacada,OR,Fruit / Vegetable Beer
784,Quaff India Style Session Ale,16,0.051,,201,Fearless Brewing Company,Estacada,OR,American IPA
785,Loki Red Ale (2013),16,0.075,53,201,Fearless Brewing Company,Estacada,OR,American Amber / Red Ale
786,Mjolnir Imperial IPA,16,0.069,,201,Fearless Brewing Company,Estacada,OR,American Double / Imperial IPA
787,Fearless Scottish Ale,16,0.05,,201,Fearless Brewing Company,Estacada,OR,Scottish Ale
788,Mastermind,12,0.081,,172,Fiddlehead Brewing Company,Shelburne,VT,American Double / Imperial IPA
789,Hyzer Flip,16,0.082,,172,Fiddlehead Brewing Company,Shelburne,VT,American Double / Imperial IPA
790,Second Fiddle,16,0.082,80,172,Fiddlehead Brewing Company,Shelburne,VT,American Double / Imperial IPA
791,Hodad Porter,16,0.055,30,172,Fiddlehead Brewing Company,Shelburne,VT,American Porter
792,Weiss Weiss Baby,12,0.045,,36,Figueroa Mountain Brewing Company,Buellton,CA,Kristalweizen
793,Czech Yo Self,12,0.055,45,36,Figueroa Mountain Brewing Company,Buellton,CA,Czech Pilsener
794,FMB 101,12,0.048,20,36,Figueroa Mountain Brewing Company,Buellton,CA,Kölsch
795,Hardcore Chimera,16,0.09,,256,Finch's Beer Company,Chicago,IL,American Double / Imperial IPA
796,Sobek & Set,16,0.08,80,256,Finch's Beer Company,Chicago,IL,American Black Ale
797,Nuclear Winter,16,0.086,,256,Finch's Beer Company,Chicago,IL,Belgian Strong Dark Ale
798,Wet Hot American Wheat Ale,16,0.05,22,256,Finch's Beer Company,Chicago,IL,American Pale Wheat Ale
799,Secret Stache Stout,16,0.053,,256,Finch's Beer Company,Chicago,IL,American Stout
800,Fascist Pig Ale,16,0.08,72,256,Finch's Beer Company,Chicago,IL,American Amber / Red Ale
801,Cut Throat Pale Ale,16,0.055,,256,Finch's Beer Company,Chicago,IL,American Pale Ale (APA)
802,Threadless IPA,16,0.075,,256,Finch's Beer Company,Chicago,IL,American IPA
803,Cut Throat Pale Ale (2011),16,0.055,,256,Finch's Beer Company,Chicago,IL,American Pale Ale (APA)
804,Golden Wing Blonde Ale,16,0.047,,256,Finch's Beer Company,Chicago,IL,American Blonde Ale
805,Easy Jack,12,0.045,47,48,Firestone Walker Brewing Company,Paso Robles,CA,American IPA
806,Union Jack,12,0.075,75,48,Firestone Walker Brewing Company,Paso Robles,CA,American IPA
807,Pivo Pils,12,0.053,,48,Firestone Walker Brewing Company,Paso Robles,CA,German Pilsener
808,805 Blonde Ale,12,0.047,,48,Firestone Walker Brewing Company,Paso Robles,CA,American Blonde Ale
809,805,12,0.047,20,48,Firestone Walker Brewing Company,Paso Robles,CA,American Blonde Ale
810,Deflator,16,0.065,,16,Flat 12 Bierwerks,Indianapolis,IN,Doppelbock
811,Hinchtown Hammer Down,16,0.05,27,16,Flat 12 Bierwerks,Indianapolis,IN,American Blonde Ale
812,Half Cycle IPA,16,0.06,104,16,Flat 12 Bierwerks,Indianapolis,IN,American IPA
813,Inclined Plane Ale,12,,,532,Flat Rock Brewing Company,Smithton,PA,American IPA
814,Moped Traveler,16,0.055,,54,Flesk Brewing Company,Lombard,IL,American Pale Ale (APA)
815,Snake Dog IPA,12,0.071,60,521,Flying Dog Brewery,Frederick,MD,American IPA
816,Underdog Atlantic Lager,12,0.047,28,521,Flying Dog Brewery,Frederick,MD,American Pale Lager
817,Flying Mouse 8,12,0.04,,50,Flying Mouse Brewery,Troutville,VA,American Porter
818,Flying Mouse 4,12,0.07,70,50,Flying Mouse Brewery,Troutville,VA,American IPA
819,La Ferme Urbaine Farmhouse Ale,12,0.078,,279,Foolproof Brewing Company,Pawtucket,RI,Saison / Farmhouse Ale
820,Backyahd IPA,12,0.06,,279,Foolproof Brewing Company,Pawtucket,RI,American IPA
821,Raincloud Robust Porter,12,0.065,,279,Foolproof Brewing Company,Pawtucket,RI,American Porter
822,Barstool American Golden Ale,12,0.045,,279,Foolproof Brewing Company,Pawtucket,RI,American Blonde Ale
823,What the Butler Saw,12,0.05,18,217,Forgotten Boardwalk,Cherry Hill,NJ,Witbier
824,1916 Shore Shiver,12,0.069,65,217,Forgotten Boardwalk,Cherry Hill,NJ,American IPA
825,Quick WIT,12,0.052,,206,Fort George Brewery,Astoria,OR,Belgian Pale Ale
826,The Optimist,12,0.062,,206,Fort George Brewery,Astoria,OR,American IPA
827,Suicide Squeeze IPA,16,0.045,,206,Fort George Brewery,Astoria,OR,American IPA
828,Java the Hop,16,0.065,,206,Fort George Brewery,Astoria,OR,American IPA
829,Next Adventure Black IPA,16,0.062,,206,Fort George Brewery,Astoria,OR,American Black Ale
830,3-Way IPA (2013),16,0.067,,206,Fort George Brewery,Astoria,OR,American IPA
831,Tender Loving Empire NWPA,16,0.058,,206,Fort George Brewery,Astoria,OR,American Pale Ale (APA)
832,Quick Wit Belgianesque Ale,16,0.052,,206,Fort George Brewery,Astoria,OR,Witbier
833,Sunrise Oatmeal Pale Ale,16,0.055,,206,Fort George Brewery,Astoria,OR,American Pale Ale (APA)
834,Cavatica Stout,16,0.088,,206,Fort George Brewery,Astoria,OR,American Double / Imperial Stout
835,1811 Lager,16,0.051,,206,Fort George Brewery,Astoria,OR,American Amber / Red Lager
836,Vortex IPA,16,0.074,97,206,Fort George Brewery,Astoria,OR,American IPA
837,Fort Pitt Ale,12,,,151,Fort Pitt Brewing Company,Latrobe,PA,American Amber / Red Ale
838,Park,12,0.047,19,4,Fort Point Beer Company,San Francisco,CA,American Pale Wheat Ale
839,Westfalia,12,0.056,16,4,Fort Point Beer Company,San Francisco,CA,American Amber / Red Ale
840,KSA,12,0.046,17,4,Fort Point Beer Company,San Francisco,CA,Kölsch
841,Villager,12,0.063,42,4,Fort Point Beer Company,San Francisco,CA,American IPA
842,Dirty Bastard,12,0.085,50,15,Founders Brewing Company,Grand Rapids,MI,Scotch Ale / Wee Heavy
843,Centennial IPA,12,0.072,65,15,Founders Brewing Company,Grand Rapids,MI,American IPA
844,All Day IPA,12,0.047,42,15,Founders Brewing Company,Grand Rapids,MI,American IPA
845,El Chingon IPA,12,0.076,73,287,Four Corners Brewing Company,Dallas,TX,American IPA
846,Block Party Robust Porter,12,0.057,40,287,Four Corners Brewing Company,Dallas,TX,American Porter
847,Local Buzz,12,0.052,20,287,Four Corners Brewing Company,Dallas,TX,American Blonde Ale
848,Feel Like Maplin' Love,16,0.055,,22,Four Fathers Brewing,Valparaiso,IN,Oatmeal Stout
849,Father's Beer,16,0.05,,22,Four Fathers Brewing,Valparaiso,IN,Belgian Pale Ale
850,The 26th,16,0.06,,22,Four Fathers Brewing,Valparaiso,IN,American IPA
851,The Gadget,16,0.064,90,22,Four Fathers Brewing,Valparaiso,IN,American IPA
852,Leprechaun Lager,12,0.04,,348,Four Horsemen Brewing Company,South Bend,IN,American Pale Lager
853,Sunbru Kölsch,12,0.052,17,160,Four Peaks Brewing Company,Tempe,AZ,Kölsch
854,Kilt Lifter Scottish-Style Ale,12,0.06,21,160,Four Peaks Brewing Company,Tempe,AZ,
855,Pumpkin Porter,12,0.051,,160,Four Peaks Brewing Company,Tempe,AZ,American Porter
856,Four Peaks Peach Ale,12,0.042,9,160,Four Peaks Brewing Company,Tempe,AZ,Fruit / Vegetable Beer
857,Hop Knot IPA,12,0.067,47,160,Four Peaks Brewing Company,Tempe,AZ,American IPA
858,Kilt Lifter Scottish-Style Ale (2009),12,0.06,21,160,Four Peaks Brewing Company,Tempe,AZ,Scottish Ale
859,Sunbru Kölsch,12,0.052,,160,Four Peaks Brewing Company,Tempe,AZ,Kölsch
860,Four String Vanilla Porter,12,0.06,,105,Four String Brewing Company,Columbus,OH,American Porter
861,Suncaster Summer Wheat,12,0.05,28,105,Four String Brewing Company,Columbus,OH,American Pale Wheat Ale
862,Brass Knuckle Pale Ale,12,0.057,36,105,Four String Brewing Company,Columbus,OH,American Pale Ale (APA)
863,Big Star White IPA,12,0.07,70,105,Four String Brewing Company,Columbus,OH,American White IPA
864,Old Detroit,12,0.056,,253,Frankenmuth Brewery,Frankenmuth,MI,American Amber / Red Ale
865,Batch 69 IPA,12,0.069,69,253,Frankenmuth Brewery,Frankenmuth,MI,American IPA
866,Twisted Helles Summer Lager,12,0.055,18,253,Frankenmuth Brewery,Frankenmuth,MI,Munich Helles Lager
867,OktoberFiesta,12,0.053,27,66,Freetail Brewing Company,San Antonio,TX,
868,Texicali,12,0.065,33,66,Freetail Brewing Company,San Antonio,TX,American Brown Ale
869,Pinata Protest,12,0.06,,66,Freetail Brewing Company,San Antonio,TX,Witbier
870,Bat Outta Helles,12,0.042,20,66,Freetail Brewing Company,San Antonio,TX,Munich Helles Lager
871,Original,12,0.068,,66,Freetail Brewing Company,San Antonio,TX,American Amber / Red Ale
872,Rye Wit,12,0.042,10,66,Freetail Brewing Company,San Antonio,TX,Witbier
873,Soul Doubt,12,0.059,70,66,Freetail Brewing Company,San Antonio,TX,American IPA
874,Yo Soy Un Berliner,12,0.044,5,66,Freetail Brewing Company,San Antonio,TX,Berliner Weissbier
875,77 Fremont Select Spring Session IPA,12,0.04,,460,Fremont Brewing Company,Seattle,WA,American IPA
876,Fremont Organic Pale Ale,12,0.045,,460,Fremont Brewing Company,Seattle,WA,American Pale Ale (APA)
877,Abominable Ale,12,0.08,,460,Fremont Brewing Company,Seattle,WA,English Strong Ale
878,Harvest Ale,12,0.065,35,460,Fremont Brewing Company,Seattle,WA,Saison / Farmhouse Ale
879,Fremont Summer Ale,12,0.065,45,460,Fremont Brewing Company,Seattle,WA,American Pale Ale (APA)
880,Universale Pale Ale,12,0.056,30,460,Fremont Brewing Company,Seattle,WA,American Pale Ale (APA)
881,Interurban IPA,12,0.065,80,460,Fremont Brewing Company,Seattle,WA,American IPA
882,Gateway Kolsch Style Ale,12,0.053,32,433,French Broad Brewery,Asheville,NC,Kölsch
883,Wee-Heavy-Er Scotch Ale,12,0.07,24,433,French Broad Brewery,Asheville,NC,Scotch Ale / Wee Heavy
884,13 Rebels ESB,12,0.052,42,433,French Broad Brewery,Asheville,NC,Extra Special / Strong Bitter (ESB)
885,Salamander Slam,16,0.07,73,180,Frog Level Brewing Company,Waynesville,NC,American IPA
886,Cack-A-Lacky,12,0.05,,347,Fullsteam Brewery,Durham,NC,American Pale Ale (APA)
887,No Wake IPA,12,0.072,50,228,Geneva Lake Brewing Company,Lake Geneva,WI,American IPA
888,Boathouse Blonde,12,0.049,15,228,Geneva Lake Brewing Company,Lake Geneva,WI,American Blonde Ale
889,Cedar Point,12,0.05,26,228,Geneva Lake Brewing Company,Lake Geneva,WI,American Amber / Red Ale
890,Clean Shave IPA,12,0.067,70,106,Glabrous Brewing Company,Pineland,ME,American IPA
891,Might As Well IPL,16,0.072,75,240,Golden Road Brewing,Los Angeles,CA,American Pale Lager
892,Saison Pamplemousse,12,0.058,35,240,Golden Road Brewing,Los Angeles,CA,Saison / Farmhouse Ale
893,2020 IPA,16,0.074,74,240,Golden Road Brewing,Los Angeles,CA,American IPA
894,Wolf Among Weeds IPA,16,0.08,70,240,Golden Road Brewing,Los Angeles,CA,American IPA
895,Better Weather IPA,16,0.094,92,240,Golden Road Brewing,Los Angeles,CA,American IPA
896,Point the Way IPA,16,0.059,60,240,Golden Road Brewing,Los Angeles,CA,American IPA
897,Golden Road Hefeweizen,16,0.046,15,240,Golden Road Brewing,Los Angeles,CA,Hefeweizen
898,Heal the Bay IPA,16,0.068,65,240,Golden Road Brewing,Los Angeles,CA,American IPA
899,Point the Way IPA,12,0.059,60,240,Golden Road Brewing,Los Angeles,CA,American IPA
900,Cabrillo Kölsch,16,0.05,,240,Golden Road Brewing,Los Angeles,CA,Kölsch
901,Get Up Offa That Brown,16,0.055,20,240,Golden Road Brewing,Los Angeles,CA,American Brown Ale
902,Burning Bush Smoked IPA,16,0.08,70,240,Golden Road Brewing,Los Angeles,CA,American IPA
903,Wolf Among Weeds IPA (2012),16,0.08,70,240,Golden Road Brewing,Los Angeles,CA,American IPA
904,Point the Way IPA (2012),16,0.059,60,240,Golden Road Brewing,Los Angeles,CA,American IPA
